"state","votesDem","percD","votesRep","percR","electoralDem","electoralRep","win"
"Alabama",849624,0.3657,1441170,0.6203,,9,"Republican"
"Alaska",153778,0.4277,189951,0.5283,,3,"Republican"
"Arizona",1672143,0.4936,1661686,0.4906,11,,"Democrat"
"Arkansas",423932,0.3478,760647,0.624,,6,"Republican"
"California",11110250,0.6348,6006429,0.3432,55,,"Democrat"
"Colorado",1804352,0.554,1364607,0.419,9,,"Democrat"
"Connecticut",1080831,0.5926,714717,0.3919,7,,"Democrat"
"Delaware",296268,0.5874,200603,0.3977,3,,"Democrat"
"District of Columbia",317323,0.9215,18586,0.054,,,
"Florida",5297045,0.4786,5668731,0.5122,,29,"Republican"
"Georgia",2473633,0.4947,2461854,0.4924,16,,"Democrat"
"Hawaii",366130,0.6373,196864,0.3427,4,,"Democrat"
"Idaho",287021,0.3307,554119,0.6384,,4,"Republican"
"Illinois",3471915,0.5754,2446891,0.4055,20,,"Democrat"
"Indiana",1242416,0.4096,1729519,0.5702,,11,"Republican"
"Iowa",759061,0.4489,897672,0.5309,,6,"Republican"
"Kansas",570323,0.4156,771406,0.5621,,6,"Republican"
"Kentucky",772474,0.3615,1326646,0.6209,,8,"Republican"
"Louisiana",856034,0.3985,1255776,0.5846,,8,"Republican"
"Maine",435072,0.5309,360737,0.4402,2,,"Democrat"
"Maryland",1985023,0.6536,976414,0.3215,10,,"Democrat"
"Massachusetts",2382202,0.656,1167202,0.3214,11,,"Democrat"
"Michigan",2804040,0.5062,2649852,0.4784,16,,"Democrat"
"Minnesota",1717077,0.524,1484065,0.4528,10,,"Democrat"
"Mississippi",539398,0.4106,756764,0.576,,6,"Republican"
"Missouri",1253014,0.4141,1718736,0.568,,10,"Republican"
"Montana",244786,0.4055,343602,0.5692,,3,"Republican"
"Nebraska",374583,0.3917,556846,0.5822,,2,"Republican"
"Nevada",793486,0.5006,669890,0.4767,6,,"Democrat"
"New Hampshire",424937,0.5271,365660,0.4536,4,,"Democrat"
"New Jersey",2608335,0.5733,1883274,0.414,14,,"Democrat"
"New Mexico",501614,0.5429,401894,0.435,5,,"Democrat"
"New York",5230985,0.6086,3244798,0.3775,29,,"Democrat"
"North Carolina",2684292,0.4859,2758775,0.4993,,15,"Republican"
"North Dakota",114902,0.3176,235595,0.6511,,3,"Republican"
"Ohio",2679165,0.4524,3154834,0.5327,,18,"Republican"
"Oklahoma",593890,0.3229,1020280,0.6537,,7,"Republican"
"Oregon",1340383,0.5645,958448,0.4037,7,,"Democrat"
"Pennsylvania",3458229,0.5001,3377674,0.4884,20,,"Democrat"
"Rhode Island",307486,0.5939,199922,0.3861,4,,"Democrat"
"South Carolina",1091541,0.4343,1385103,0.5511,,9,"Republican"
"South Dakota",150471,0.3561,261043,0.6177,,3,"Republican"
"Tennessee",1143711,0.3845,1852475,0.6066,,11,"Republican"
"Texas",5259126,0.4648,5890347,0.5206,,38,"Republican"
"Utah",560282,0.3765,865140,0.5813,,6,"Republican"
"Vermont",242820,0.6609,112704,0.3067,3,,"Democrat"
"Virginia",2413568,0.5411,1962430,0.44,13,,"Democrat"
"Washington",2369612,0.5797,1584651,0.3877,12,,"Democrat"
"West Virginia",235984,0.2969,545382,0.6882,,5,"Republican"
"Wisconsin",1630866,0.4945,1610184,0.4882,10,,"Democrat"
"Wyoming",73491,0.2655,193559,0.6994,,3,"Republican"