"state","suicideRate","suicideNumber"
"Wyoming",32.3,190
"Montana",32,350
"Alaska",30.8,220
"New Mexico",25,533
"South Dakota",23.2,203
"Colorado",22.8,1384
"Oklahoma",22.1,877
"Nevada",21.5,691
"North Dakota",20.8,156
"Arkansas",20.6,618
"West Virginia",20.6,375
"Idaho",20.5,387
"Vermont",20.3,142
"Utah",20.1,643
"Arizona",19.5,1475
"Maine",19.5,277
"Oregon",19.5,889
"Kansas",19.4,560
"Missouri",18.7,1177
"Kentucky",17.9,816
"Iowa",17.5,549
"Tennessee",17,1222
"Indiana",16.4,1129
"Mississippi",16.2,480
"Alabama",15.8,827
"Georgia",15.3,1676
"Washington",15.3,1229
"South Carolina",15.2,802
"New Hampshire",15.1,223
"Wisconsin",15.1,905
"Nebraska",15,288
"Louisiana",14.8,689
"Ohio",14.6,1766
"Michigan",14.3,1485
"Texas",14.2,4193
"Florida",14,3351
"Minnesota",13.9,808
"Pennsylvania",13.9,1885
"Hawaii",13.7,202
"Delaware",13.6,137
"North Carolina",13.2,1448
"Virginia",13.2,1188
"Illinois",11.1,1454
"Rhode Island",10.3,117
"California",10.1,4148
"Connecticut",10,401
"Maryland",9.7,620
"Massachusetts",8,604
"New York",7.9,1660
"New Jersey",7.1,688